Response ID,Start language,Are you familiar with Open Science?,Are you involved in some of the following Open Science  activities such as: [sharing a research manuscript as a preprint],Are you involved in some of the following Open Science  activities such as: [publishing a paper or monograph/book as Open Access],"Are you involved in some of the following Open Science  activities such as: [pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Are you involved in some of the following Open Science  activities such as: [open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]",Are you involved in some of the following Open Science  activities such as: [participation in open peer review (being reviewed or the reviewer)],"Are you involved in some of the following Open Science  activities such as: [outreach and public engagement in science, including citizen (or community) science]",Are you involved in some of the following Open Science  activities such as: [collaboration via virtual research environments/virtual laboratories],Are you involved in some of the following Open Science  activities such as: [none of the above],"Are you involved in any other Open Science activities that you would like to mention? If yes, please specify.","Are you familiar with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles (defined here )?",Are you involved in some steps of data FAIRification process such as those referred to here ? ,Specify which ones?,Does your institute /organisation have policies on various Open Science activities?,"Could you please specify briefly what kind of policy and provide a link to any relevant one, if possible?","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Sharing a research manuscript as a preprint]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Publishing a paper or monograph/book as Open Access]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in open peer review (being reviewed or the reviewer)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in public engagement, including citizen (or community) science]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Collaboration via virtual research environments/virtual laboratories ]",Does your institute/organisation have any initiative or tool which gives credits/rewards for Open Science activities?,You’re welcome to point here to any document/link/contact to know more about it.,How would you want the previously mentioned Open Science activities to be rewarded ?,Suggested rewards categorised according to SHARC's rewarding terminology,Main position/job title: which of the following are you now?,Main position/job title: which of the following are you now? [Comment],Please select the type of organisation you are primarily affiliated with:,Please select the type of organisation you are primarily affiliated with: [Comment],Which country do you work in?,"What are your main disciplinary fields (up to 3; e.g., computer science, physics, biology, medicine)?",How long have you been working in your field?,Would you have anything else you think is relevant to mention?,Your gender:
285,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Probably Not,Possibly,Definitely,Definitely,Definitely,Possibly,No,,,,Researcher,,University,,United States,Earth Science,> 20 years,,male
286,en,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Possibly,Definitely,Very Probably,Possibly,No opinion,No,,,,Researcher,,Government agency,,France,Structural Biology; Immunology; Biophysics,> 20 years,,female
287,en,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Very Probably,Definitely,Definitely,Very Probably,No opinion,Definitely,No opinion,Yes,,,awards/bonuses; funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,University,,United States,Epidemiology; Biostatistics; Health Services Research,5-10 years,,Cis female
290,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,,Postdoc,,University,,France,Biology; Computer Science; Social Sciences,5-10 years,,non-binary
292,en,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,No,N/A,,Yes,,Very Probably,Definitely,Definitely,Possibly,Possibly,Very Probably,Possibly,No,,,funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,University,,France,Educational Sciences; Social Psychology; Philosophy of Education,< 5 years,,Non-binary
293,en,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,No,,No,,Possibly,Definitely,Possibly,Possibly,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,India,Health Science; Medicine; Neuroscience,5-10 years,,Male
294,en,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Very Probably,Very Probably,Possibly,Very Probably,Very Probably,No opinion,Probably Not,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,Research institute,,United States,oceanography; informatics,> 20 years,,
295,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; research visibility indicators,Professor,,Research institute,,India,Biology; Computational Biology; Infectious and rare diseases,< 5 years,,Female
297,en,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Yes,,,"awards/bonuses; collaboration (e.g., joint research, co-authorship); capacity building for OS (e.g., training, raising awareness, provision of IT tools); research visibility indicators",Researcher,,Research institute,,France,Citizen Science; Public Health; Network Science,< 5 years,,
298,en,Yes,Yes,No,No,No,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Definitely,Probably Not,Very Probably,Very Probably,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,NGO / NPO,,France,Biology,5-10 years,,woman
303,en,Yes,No,Yes,Yes,No,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,,Postdoc,,Research institute,,France,Education; Citizen Science,< 5 years,,
304,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Definitely,No opinion,Definitely,Definitely,Definitely,Probably Not,Yes,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Government agency,,United States,Earth Science,> 20 years,,male
305,en,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Probably Not,Definitely,Possibly,Definitely,Definitely,Definitely,Definitely,Yes,,,OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,Research institute,,France,Psychology,< 5 years,,M
306,en,Yes,Yes,No,No,Yes,No,No,No,No,,Yes,No,,No,,Definitely Not,Definitely,Possibly,Definitely,Definitely Not,Definitely Not,Definitely Not,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,France,Electrical Engineering; Physics; Computer Science,10-20 years,,Male
307,en,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Definitely,Definitely,Very Probably,Yes,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,Professor,,University,,Spain,Linguistics,> 20 years,,Female
309,en,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Definitely,Definitely,Very Probably,Very Probably,,Yes,,,funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,Spain,Information Science,10-20 years,,woman
310,en,No,No,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Definitely,No opinion,Definitely,Definitely,Very Probably,No opinion,No,,,OS indicators in research evaluation and/or career progression processes; support through regulations and policy mandates,Researcher,,Research institute,,France,Health Law,10-20 years,,Female
312,en,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,No,N/A,,No,,Definitely Not,Probably Not,No opinion,No opinion,Definitely Not,Definitely Not,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Ireland,Neuroscience; Psychology; Cognitive Science,5-10 years,,Female
316,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Possibly,Probably Not,Probably Not,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Postdoc,,University,,United Kingdom,Astrophysics,10-20 years,,
318,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,Yes,,No,,Definitely,Definitely,Very Probably,Definitely,Very Probably,Very Probably,Very Probably,No,,,,Postdoc,,International organisation,,Chile,Astronomy,10-20 years,,
319,en,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,,Yes,,Very Probably,Possibly,Definitely,Very Probably,Very Probably,Very Probably,Very Probably,No,,,,Researcher,,Research institute,,Brazil,Biophysics,5-10 years,,Male
322,en,Yes,No,No,No,Yes,Yes,Yes,No,No,,Yes,Yes,,No,,Definitely,Possibly,Definitely,Definitely,Definitely,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Data specialist,,"Other, please specify",,United States,Computer Science; Materials Science; Electrical Engineering,10-20 years,,
323,en,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Definitely,Possibly,Definitely,Possibly,Definitely,Possibly,Yes,,,,"Other, please specify in the comment box",,NGO / NPO,,Brazil,Social Sciences,< 5 years,,Female cis
325,en,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,Yes,No,,No,,Possibly,Definitely Not,Very Probably,Definitely,Probably Not,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,University,,Serbia,Social Psychology; Health Psychology,< 5 years,,Female
327,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Possibly,Definitely,Possibly,Definitely,Very Probably,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,United States,Meteorology,10-20 years,,Male
328,en,Yes,No,No,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,Possibly,No,,,funding/grants for OS activities; awards/bonuses; research visibility indicators; OS indicators in research evaluation and/or career progression processes,Software engineer,,Research institute,,China,Computer Science,> 20 years,,
330,en,Yes,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,Possibly,Very Probably,Definitely,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,"Publisher (e.g., scholarly societies)",,United Arab Emirates,Literature and religion,10-20 years,,
331,en,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,Yes,Yes,,Yes,,Possibly,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,Yes,,,authorship/contributorship; acknowledgement/citation,Researcher,,Government agency,,United States,Earth Science; Social Science; Information Science,10-20 years,,male
335,en,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Possibly,Definitely,Definitely,No,,,acknowledgement/citation,Professor,,University,,United States,Biology,> 20 years,,male
336,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,No,,No,,Probably Not,Possibly,Probably Not,Possibly,Possibly,Very Probably,Possibly,No,,,"capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Professor,,University,,United States,Biophysics,> 20 years,,male
340,ko,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,,No,,Possibly,Very Probably,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,,Researcher,,Research institute,,"Korea, Rep.",Policy Studies,5-10 years,,F
343,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,No,,Probably Not,Very Probably,Definitely Not,Possibly,Possibly,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes; awards/bonuses; funding/grants for OS activities,Postdoc,,University,,Brazil,Computer Science; Computational Physics,10-20 years,,feminine
344,en,Yes,Yes,No,No,No,No,No,No,No,,Yes,No,,Yes,,Possibly,Possibly,Definitely Not,Possibly,Definitely Not,Possibly,Possibly,No,,,no specific reward,Researcher,,Research institute,,France,Computer Science,> 20 years,,
345,en,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,Yes,Yes,,Yes,,Very Probably,Very Probably,Possibly,Definitely,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; support through regulations and policy mandates,Data specialist,,University,,United States,Environmental Science; Ecology; Oceanography,10-20 years,,Femail
346,en,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,Yes,Yes,,No,,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Definitely,No opinion,No,,,"OS indicators in research evaluation and/or career progression processes; authorship/contributorship; awards/bonuses; capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Researcher,,"Other, please specify",,United States,Geoscience; Science policy,10-20 years,,Woman
347,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,United States,Wind Energy; Computer Science; Information Science,10-20 years,,Male
348,en,Yes,Yes,No,No,No,No,Yes,No,No,,Yes,Yes,,Yes,,Definitely,Definitely,Possibly,Definitely,Definitely,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,University,,Ireland,Biology,10-20 years,,Female
349,en,Yes,No,Yes,No,Yes,No,Yes,No,No,,Yes,Yes,,No,,Probably Not,Possibly,Possibly,Very Probably,Possibly,Very Probably,Very Probably,Yes,,,,Researcher,,University,,China,Environmental Science,5-10 years,,male
350,en,Yes,Yes,No,No,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,"Other, please specify in the comment box",,International organisation,,Sweden,Neuroscience; Neuroinformatics; Computational Neuroscience,10-20 years,,Female
357,en,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,,Yes,,Probably Not,Probably Not,Possibly,Very Probably,Possibly,Very Probably,Probably Not,Yes,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Government agency,,United States,Physics; Computer Science,10-20 years,,
359,en,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,,No,,Very Probably,Very Probably,Definitely,Definitely,Very Probably,Definitely,No opinion,No,,,awards/bonuses; research visibility indicators; OS indicators in research evaluation and/or career progression processes,Researcher,,Government agency,,United States,Earth and Life Science; Biomedical Science; Chemical Biology; Computational Science; Cheminformatics,5-10 years,,Female
360,en,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Yes,,,OS indicators in research evaluation and/or career progression processes; authorship/contributorship,"Other, please specify in the comment box",,International organisation,,United Kingdom,Biology,10-20 years,,
361,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely Not,Possibly,Possibly,Possibly,Possibly,No,,,no specific reward,Professor,,University,,Netherlands,Computer Science; Biology; Chemistry,> 20 years,,not relevant
362,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,No opinion,No opinion,No,,,,Researcher,,University,,Ireland,Physics; Chemistry; Materials Science,> 20 years,,Male
364,en,Yes,Yes,Yes,Yes,No,Yes,No,No,No,,Yes,No,,Yes,,Very Probably,Very Probably,Very Probably,Very Probably,Definitely,Possibly,Probably Not,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,Professor,,University,,Turkey,Medicine,10-20 years,,
365,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Very Probably,Very Probably,Definitely,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; support through regulations and policy mandates,Data specialist,,Government agency,,United States,Physics; Materials; Information technology,5-10 years,,F
366,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,No,,No,,Possibly,Possibly,Possibly,Possibly,Probably Not,Possibly,No opinion,No,,,support through regulations and policy mandates,Professor,,University,,Canada,Global Health; Behavioural Health Sciences; Bioethics,10-20 years,,Female
367,en,Yes,No,Yes,Yes,Yes,No,Yes,No,No,,Yes,No,,No,,Definitely,Very Probably,Definitely,Definitely,Very Probably,Definitely,Very Probably,Yes,,,OS indicators in research evaluation and/or career progression processes,Software engineer,,University,,United Kingdom,Psychology; Computer Science,< 5 years,,Female
369,en,Yes,Yes,No,No,No,No,Yes,Yes,No,,Yes,No,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities,Postdoc,,University,,Nigeria,Medicine,5-10 years,,female
370,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,Yes,,No,,Possibly,Very Probably,Definitely,Definitely,Possibly,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Software engineer,,Research institute,,United States,Software Development; Metadata Management,> 20 years,,Female
371,en,Yes,Yes,No,Yes,Yes,No,No,No,No,,Yes,No,,No,,Very Probably,Possibly,Definitely,Definitely,Very Probably,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,University,,Germany,Biology,10-20 years,,woman
372,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Possibly,Possibly,Possibly,Very Probably,Very Probably,Very Probably,Possibly,No,,,,"Other, please specify in the comment box",,"Other, please specify",,United Kingdom,Biology; Medicine,10-20 years,,Female
373,en,Yes,Yes,Yes,No,Yes,No,No,Yes,No,,Yes,Yes,,No,,Definitely Not,Definitely,Definitely,Definitely,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; support through regulations and policy mandates; research visibility indicators,"Other, please specify in the comment box",,"Other, please specify",,Germany,Bioinformatics; Systems Medicine; computational modelling,> 20 years,,
374,en,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Probably Not,Possibly,Very Probably,Definitely,Very Probably,Definitely,Possibly,No,,,authorship/contributorship; acknowledgement/citation; OS indicators in research evaluation and/or career progression processes; support through regulations and policy mandates,Data specialist,,Government agency,,United States,Ecology; geography; Environmental Science,< 5 years,,female
375,en,Yes,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,No opinion,Definitely,Very Probably,Definitely,No opinion,No,,,funding/grants for OS activities; awards/bonuses; authorship/contributorship; OS indicators in research evaluation and/or career progression processes; research visibility indicators,Professor,,University,,Brazil,Wildlife Ecology; Management and Conservation,> 20 years,,female
376,en,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,Yes,Yes,,Yes,,Very Probably,Very Probably,Possibly,Definitely,Possibly,Very Probably,Possibly,No,,,authorship/contributorship; OS indicators in research evaluation and/or career progression processes; research visibility indicators; science as a public good,Data specialist,,"Other, please specify",,Greece,Computer Science,5-10 years,,Male
377,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,Yes,,Yes,,Definitely,Very Probably,Very Probably,Definitely,Definitely,Definitely,No opinion,No,,,OS certifications/badges,"Other, please specify in the comment box",,University,,United Kingdom,Computer Science; Data Science; Open Data,> 20 years,,female
379,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,N/A,,Possibly,Definitely,Possibly,Definitely,Possibly,Definitely,Very Probably,No,,,,Researcher,,University,,United Kingdom,Statistics,10-20 years,,woman
381,en,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,N/A,,No,,Definitely Not,Definitely,Definitely,Definitely Not,Probably Not,Definitely,Definitely,No,,,,Researcher,,University,,Albania,Economics,10-20 years,,Female
383,en,Yes,No,No,No,No,No,Yes,Yes,No,,No,N/A,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Nigeria,Computer Science,5-10 years,,Female
385,en,Yes,No,Yes,No,Yes,Yes,No,No,No,,Yes,Yes,,Yes,,Possibly,Definitely,Definitely,Very Probably,Very Probably,Very Probably,Possibly,No,,,acknowledgement/citation,Data specialist,,Research institute,,Netherlands,Biodiversity,< 5 years,,Male
389,en,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Possibly,Definitely,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities; awards/bonuses,Data specialist,,University,,Portugal,Biological Collections; Biodiversity,5-10 years,,Male
392,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Very Probably,Definitely,Possibly,Definitely,Definitely,Definitely,Very Probably,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Researcher,,Research institute,,Germany,Biology,5-10 years,,
394,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Possibly,Definitely,Very Probably,Definitely,Possibly,Very Probably,Possibly,Yes,,,funding/grants for OS activities; research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Data specialist,,Research institute,,Germany,Chemistry; Library Science; Information Science,< 5 years,,
395,en,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,Yes,,No,,Very Probably,Definitely,Very Probably,Definitely,Possibly,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,Government agency,,Germany,Data Management; toxicology; Data Science,5-10 years,,
396,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,,No,,Possibly,Very Probably,Very Probably,Definitely,Very Probably,Definitely,Very Probably,No,,,,Researcher,,University,,United States,Environmental Science; Sociology,< 5 years,,Male
397,en,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Possibly,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,University,,United States,philosophy; Law,> 20 years,,male
398,en,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,Yes,No,,Yes,,Definitely,Definitely,Possibly,Definitely,Possibly,Very Probably,Very Probably,No,,, OS indicators in research evaluation and/or career progression processes,Researcher,,University,,United States,Computational Science; Scientific Computing; Applied Mathematics; Statistics,5-10 years,,male; trans man
401,en,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,Very Probably,Very Probably,Possibly,Possibly,Possibly,Yes,,,funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,Policy officer,,University,,Poland,Information Science; Bibliometrics,< 5 years,,male
